Group,Totals,16 to 19 ,20 to 24 ,25 to 29,30 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 and over
Alabama,4.3,12.1,9,5.5,5.2,3.6,3,1.5,2,1.2,1.8
Alaska,4.6,12.4,9,4.1,4.1,4.6,2.6,2.1,3.6,4,7.3
Arizona,4.3,13.8,6,4.7,3.6,3.5,3.4,3.2,2.5,3.8,3.7
Arkansas,4.5,12.1,9.8,4.7,3.5,4.2,2.9,2.4,1.6,3.1,4.2
California,5.3,15.3,9.2,6.1,4.9,4.2,4,4.2,4.2,3.9,4
Colorado,3.5,13.1,4.7,3,2.9,2.9,2.8,2.7,2.7,2.8,4.2
Connecticut,4.7,12.6,8.7,5.1,4.7,4.2,3.4,3.4,3,4.1,4.9
Delaware,4.3,10.2,9.7,5.1,4.4,3.7,4.1,1.1,2.6,0.9,2.3
District.of.Columbia,5.1,24.5,9.2,4.6,4.3,3.5,4.4,3.9,6.6,5.4,2.6
Florida,4,12.5,7.4,4.9,3.7,3.6,2.7,2.6,2.7,3.2,2.7
Georgia,4.2,11.8,8.5,5.2,3.6,3.2,2.7,2.7,2.8,3.5,1.7
Hawaii,3.6,12.3,6.6,4.5,3.1,3.3,2.6,3.6,2.1,2,2.8
Idaho,3,10.3,5.6,3.1,2,2.2,1.7,2.2,1.7,1.8,2.8
Illinois,4.8,12.1,8.5,5.8,4.4,3.8,3.6,3.7,3.1,3.6,2.8
Indiana,3.6,9.6,6.1,4.9,3.2,3,2.4,2.6,1.9,1.9,2.1
Iowa,2.9,8.6,5.2,3.3,2.3,2.6,2.1,1.6,1.4,2,2.1
Kansas,3.6,9.9,6.8,3.4,3.6,3.7,2.2,2,1.1,2.1,2.1
Kentucky,4.3,13.6,8,5.6,4.1,3.6,2.7,2.6,1.7,2.1,1.9
Louisiana,5.4,12.6,11.7,6.5,4,4.9,4,3.5,3.3,2,2.7
Maine,3.3,12.4,5.5,3.5,2.7,3.5,2.3,2.1,1.6,1.6,2.9
Maryland,4,13.4,8.6,4,4.1,3.2,2.5,2.7,3.3,2.4,2.8
Massachusetts,4.1,11.7,7.5,4.2,3.2,3.4,3.1,3.8,2.2,3.4,3.7
Michigan,4.6,10.9,7.3,5,4.8,4.5,3.5,3.2,2.9,3.1,2.2
Minnesota,3.2,8.3,5.6,3,2.7,2.7,2.6,2.3,2,2.5,3.9
Mississippi,4.9,18.8,8.3,6.2,4.6,4,3.2,3.3,1.8,3.1,3.6
Missouri,3.7,11.4,6.9,4.8,2.9,3,2.6,2.3,2,2.6,1.7
Montana,3,10.3,5.5,2.7,4.1,1.7,2,2.2,1.8,1.8,0.9
Nebraska,2.3,7.2,4.2,2.1,2.3,1.8,1.5,1.4,0.9,2.1,3.4
Nevada,5.5,16.1,9.4,5.4,5,4.5,4.8,3.4,4.1,4.2,6
New.Hampshire,2.5,6.6,5.3,3.3,2.2,1.6,1.5,1.3,3.5,2,1.8
New.Jersey,5,13.7,9.7,5.6,4.4,4.5,3.6,3.9,4,4.1,3.3
New.Mexico,4.8,8.6,8.8,4.7,4.9,4.2,3.5,4.9,4.1,1.8,2.4
New.York,5.1,15.4,10,5.8,5,4.2,3.7,3.9,3.4,3.7,4
North.Carolina,3.8,11.2,7.2,4.6,3.2,3.4,2.6,2.1,2,2.7,2.4
North.Dakota,2.2,7.4,2.2,3,1.9,1.1,2.6,1.4,0.6,2,0.5
Ohio,3.7,10.2,6.8,4.8,3.7,3.1,2.5,2.5,2,2.2,3.1
Oklahoma,4.2,12.3,6.1,5.7,4.5,3.4,2.8,2.5,2.3,2.2,1.9
Oregon,4.3,12.2,7.2,4.2,4.4,3.6,2.9,3.7,2.9,3,4.8
Pennsylvania,4.3,12.2,8,5.3,4,3.9,2.9,2.5,2.6,2.5,3.3
Rhode.Island,4.5,10.1,7.8,5.6,3.9,3.6,3.8,2,4.4,4.4,3.3
South.Carolina,4.4,16.1,8,5.1,4,3.6,2.8,2.7,2.5,2.3,2.7
South.Dakota,2.8,9.2,5.2,3.4,3.2,2.5,1.3,1.1,1.3,1.5,1.2
Tennessee,3.4,10.4,5.9,4.3,3.7,2.8,2.2,2.5,1.7,1.7,2.3
Texas,4.4,13.8,7.9,4.9,3.9,3.5,3,2.7,3.3,3.3,3.5
Utah,2.7,7.4,4.9,2.5,2.5,1.6,1.5,1.8,1.2,3,1.6
Vermont,2.8,11.3,4,3.6,2.6,1.5,2.5,1.1,1.9,2.2,2.2
Virginia,3.6,12,8.4,3.7,3.8,2.9,2.2,2,2,2.2,2.1
Washington,4.1,12.9,6.9,4.8,3.6,3.5,3.1,2.8,2.8,2.4,2.1
West.Virginia,4.7,13.7,7,4.7,5.3,4.3,3.9,3.6,2.8,3.6,0.5
Wisconsin,2.8,6.2,5.9,3.5,2.6,2.2,1.7,1.9,1.4,1.7,1
Wyoming,3.8,9.2,7.3,4.2,2.7,3.8,2.4,3.2,2.4,2.8,0
Puerto.Rico,9.9,34.2,19.8,13.7,9.9,8,6.5,5.8,5.4,3.7,0.5
