Group,Total 2010,Total 2022
"Agriculture, forestry, fishing and hunting, and mining","2,646,975","2,546,743"
Construction,"8,686,813","11,213,024"
Manufacturing,"14,439,691","16,096,892"
Wholesale trade,"3,941,066","3,502,056"
Retail trade,"16,203,408","18,073,795"
"Transportation and warehousing, and utilities","6,843,579","9,779,768"
Information,"3,015,521","3,137,801"
"Finance and insurance, and real estate and rental and leasing","9,275,465","10,967,381"
"Professional, scientific, and management, and administrative and waste management services","14,710,089","20,474,027"
"Educational services, and health care and social assistance","32,311,107","37,480,570"
"Arts, entertainment, and recreation, and accommodation and food services","12,859,572","14,097,318"
"Other services, except public administration","6,913,449","7,675,317"
Public administration,"7,187,193","7,545,529"
,,
,,
