Label (Grouping),United States!!Total!!Estimate
"    Agriculture, forestry, fishing and hunting, and mining","2,546,743"
    Construction,"11,213,024"
    Manufacturing,"16,096,892"
    Wholesale trade,"3,502,056"
    Retail trade,"18,073,795"
"    Transportation and warehousing, and utilities","9,779,768"
    Information,"3,137,801"
"    Finance and insurance, and real estate and rental and leasing","10,967,381"
"    Professional, scientific, and management, and administrative and waste management services","20,474,027"
"    Educational services, and health care and social assistance","37,480,570"
"    Arts, entertainment, and recreation, and accommodation and food services","14,097,318"
"    Other services, except public administration","7,675,317"
    Public administration,"7,545,529"
,
,
