Label (Grouping),Alabama!!Total!!Estimate,Alaska!!Total!!Estimate,Arizona!!Total!!Estimate,Arkansas!!Total!!Estimate,California!!Total!!Estimate,Colorado!!Total!!Estimate,Connecticut!!Total!!Estimate,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida!!Total!!Estimate,Georgia!!Total!!Estimate,Hawaii!!Total!!Estimate,Idaho!!Total!!Estimate,Illinois!!Total!!Estimate,Indiana!!Total!!Estimate,Iowa!!Total!!Estimate,Kansas!!Total!!Estimate,Kentucky!!Total!!Estimate,Louisiana!!Total!!Estimate,Maine!!Total!!Estimate,Maryland!!Total!!Estimate,Massachusetts!!Total!!Estimate,Michigan!!Total!!Estimate,Minnesota!!Total!!Estimate,Mississippi!!Total!!Estimate,Missouri!!Total!!Estimate,Montana!!Total!!Estimate,Nebraska!!Total!!Estimate,Nevada!!Total!!Estimate,New Hampshire!!Total!!Estimate,New Jersey!!Total!!Estimate,New Mexico!!Total!!Estimate,New York!!Total!!Estimate,North Carolina!!Total!!Estimate,North Dakota!!Total!!Estimate,Ohio!!Total!!Estimate,Oklahoma!!Total!!Estimate,Oregon!!Total!!Estimate,Pennsylvania!!Total!!Estimate,Rhode Island!!Total!!Estimate,South Carolina!!Total!!Estimate,South Dakota!!Total!!Estimate,Tennessee!!Total!!Estimate,Texas!!Total!!Estimate,Utah!!Total!!Estimate,Vermont!!Total!!Estimate,Virginia!!Total!!Estimate,Washington!!Total!!Estimate,West Virginia!!Total!!Estimate,Wisconsin!!Total!!Estimate,Wyoming!!Total!!Estimate,Puerto Rico!!Total!!Estimate
Civilian employed population 16 years and over,"2,278,494","345,201","3,441,676","1,335,560","18,942,977","3,131,144","1,861,502","498,721","374,882","10,489,216","5,273,176","674,532","921,141","6,293,807","3,355,406","1,658,607","1,456,502","2,061,238","2,038,340","696,402","3,168,418","3,714,823","4,800,228","3,008,627","1,257,562","2,987,867","559,604","1,025,109","1,524,894","753,730","4,707,790","937,027","9,600,338","5,135,307","408,563","5,762,007","1,836,305","2,095,363","6,402,242","560,568","2,454,047","460,983","3,413,460","14,578,433","1,735,854","344,401","4,298,561","3,865,941","735,644","3,036,963","291,038","1,164,142"
"Agriculture, forestry, fishing and hunting, and mining","28,524","16,250","47,913","31,370","388,020","51,873","7,848","5,134",168,"90,336","45,987","8,347","35,928","70,513","44,354","63,405","44,604","35,752","61,239","16,411","16,708","19,302","53,066","59,802","30,666","44,775","37,914","42,787","21,824","6,365","11,287","27,959","53,487","55,186","32,506","50,847","70,719","56,988","79,330","5,261","19,100","29,549","27,815","320,064","24,906","8,519","39,063","93,015","21,149","66,238","26,570","18,584"
Construction,"154,225","25,127","266,613","90,213","1,269,979","251,318","118,612","35,625","6,351","856,991","358,496","49,451","89,856","336,059","222,231","113,842","87,172","129,289","162,602","54,168","226,633","234,056","285,081","195,884","90,027","204,833","50,349","80,363","114,629","54,409","285,861","71,253","545,675","372,237","28,725","340,739","132,607","142,543","371,654","33,162","162,846","33,992","228,572","1,266,232","142,262","24,736","271,652","278,153","50,330","187,841","27,468","75,137"
Manufacturing,"318,435","15,265","258,236","181,800","1,657,206","225,887","197,152","36,139","6,959","545,806","549,389","22,983","84,860","725,928","620,384","239,736","179,593","299,639","149,175","61,944","152,925","339,811","873,187","402,986","174,869","342,559","25,828","101,641","84,087","97,919","392,662","40,993","543,105","601,741","32,253","856,921","165,615","218,540","706,729","60,133","321,012","45,709","437,353","1,217,594","173,631","30,076","303,076","346,303","60,045","558,063","13,010","104,432"
Wholesale trade,"44,172","4,757","64,314","23,311","448,280","57,209","36,074","9,252","1,562","235,585","124,127","11,315","19,175","157,156","64,847","40,370","32,961","41,357","44,599","11,615","44,606","69,821","90,036","71,800","24,636","65,361","15,258","23,138","30,895","17,369","132,637","13,431","177,093","103,272","11,574","124,868","35,100","46,450","148,515","13,166","51,082","9,692","74,526","346,420","35,311","7,652","69,347","86,265","12,552","73,768","4,377","28,564"
Retail trade,"265,627","36,390","420,736","182,615","1,962,874","330,116","194,829","61,886","18,498","1,295,078","600,160","69,870","111,022","675,894","367,445","189,143","159,224","236,730","232,732","93,134","274,271","353,185","514,108","334,218","138,888","339,150","65,831","114,723","172,812","94,351","499,307","103,417","964,908","579,427","46,126","650,264","226,403","254,729","736,894","58,880","276,863","52,733","417,554","1,696,879","203,478","38,634","436,700","469,979","94,660","331,505","28,915","148,801"
"Transportation and warehousing, and utilities","132,429","29,892","209,332","83,144","1,153,859","173,840","85,763","30,272","11,823","663,044","402,635","41,800","43,887","454,511","208,696","87,972","79,995","151,412","114,479","27,530","172,449","157,636","243,738","158,282","88,411","186,514","29,385","60,850","111,295","31,178","302,557","47,399","558,089","282,670","24,728","345,971","112,357","95,889","397,213","26,216","141,648","20,313","248,148","992,889","103,674","10,473","209,714","225,053","41,166","149,708","17,840","48,633"
Information,"25,219","6,016","47,342","18,152","576,751","85,311","40,860","5,252","15,429","166,629","121,274","12,066","13,150","108,513","37,812","23,514","23,418","28,261","30,525","12,646","57,287","72,738","60,178","44,361","10,990","48,262","9,010","13,905","26,603","14,812","118,985","16,622","281,486","83,677","4,210","81,865","26,936","36,129","92,268","6,616","40,061","6,686","56,215","240,003","35,187","6,496","80,321","108,377","10,849","44,192","4,334","17,937"
"Finance and insurance, and real estate and rental and leasing","134,908","14,570","305,745","72,932","1,079,549","225,573","163,231","47,192","19,954","874,381","336,549","42,929","53,207","477,204","178,237","127,920","98,202","112,588","113,509","40,590","177,681","265,665","280,272","208,198","59,898","217,997","33,440","80,042","89,300","48,507","404,161","48,150","769,597","371,202","24,438","368,165","106,791","119,678","427,310","41,192","155,787","27,514","222,414","1,035,951","118,242","16,949","287,348","211,157","33,856","184,373","13,136","65,868"
"Professional, scientific, and management, and administrative and waste management services","236,249","29,652","428,687","115,519","2,738,428","494,060","228,604","60,244","92,089","1,482,591","702,476","76,063","97,448","814,229","320,902","130,131","149,387","193,895","203,713","73,162","528,858","581,883","491,926","324,473","93,693","311,260","53,243","98,759","194,939","94,072","693,668","116,828","1,251,908","664,913","32,229","590,006","174,387","259,282","717,763","65,136","280,612","31,058","363,513","1,883,085","221,270","36,077","719,949","566,981","65,136","278,066","21,525","129,162"
"Educational services, and health care and social assistance","508,143","84,691","737,821","303,716","4,011,315","660,789","501,210","116,988","66,685","2,173,580","1,082,317","146,813","209,407","1,455,070","772,855","408,143","359,307","491,272","506,044","186,588","759,853","1,039,344","1,105,569","755,046","314,566","718,776","124,287","246,616","246,867","173,016","1,134,597","240,384","2,748,119","1,138,353","101,985","1,395,049","406,978","477,425","1,705,571","149,643","548,186","121,289","743,549","3,077,246","386,482","98,936","952,173","807,893","202,844","705,847","71,327","246,857"
"Arts, entertainment, and recreation, and accommodation and food services","188,033","27,855","332,030","107,791","1,846,259","288,924","144,133","42,138","28,090","1,140,617","442,851","104,560","74,854","499,532","245,607","110,470","112,331","155,974","192,353","53,985","241,580","287,647","417,800","215,426","107,620","235,828","56,960","72,309","303,182","56,929","329,656","93,344","807,729","424,593","30,912","481,215","164,807","194,863","470,718","51,781","236,450","40,464","299,156","1,211,030","138,035","34,263","326,205","317,161","60,615","221,839","28,814","111,185"
"Other services, except public administration","112,324","15,758","158,798","64,382","931,206","149,142","78,744","23,757","39,280","531,459","253,971","27,884","41,533","291,903","150,106","67,834","66,316","100,055","112,531","34,185","163,564","156,386","216,466","132,361","59,106","141,676","28,054","43,951","74,518","33,120","188,348","47,351","456,949","249,767","18,275","253,982","96,891","98,891","296,399","23,584","115,925","19,684","160,347","701,537","75,922","13,707","220,399","164,068","31,141","126,367","15,413","73,987"
Public administration,"130,206","38,978","164,109","60,615","879,251","137,102","64,442","24,842","67,994","433,119","252,944","60,451","46,814","227,295","121,930","56,127","63,992","85,014","114,839","30,444","352,003","137,349","168,801","105,790","64,192","130,876","30,045","46,025","53,943","31,683","214,064","69,896","442,193","208,269","20,602","222,115","116,714","93,956","251,878","25,798","104,475","22,300","134,298","589,503","77,454","17,883","382,614","191,536","51,301","109,156","18,309","94,995"
