Label (Grouping),Alabama!!Unemployment rate!!Estimate,Alaska!!Unemployment rate!!Estimate,Arizona!!Unemployment rate!!Estimate,Arkansas!!Unemployment rate!!Estimate,California!!Unemployment rate!!Estimate,Colorado!!Unemployment rate!!Estimate,Connecticut!!Unemployment rate!!Estimate,Delaware!!Unemployment rate!!Estimate,District of Columbia!!Unemployment rate!!Estimate,Florida!!Unemployment rate!!Estimate,Georgia!!Unemployment rate!!Estimate,Hawaii!!Unemployment rate!!Estimate,Idaho!!Unemployment rate!!Estimate,Illinois!!Unemployment rate!!Estimate,Indiana!!Unemployment rate!!Estimate,Iowa!!Unemployment rate!!Estimate,Kansas!!Unemployment rate!!Estimate,Kentucky!!Unemployment rate!!Estimate,Louisiana!!Unemployment rate!!Estimate,Maine!!Unemployment rate!!Estimate,Maryland!!Unemployment rate!!Estimate,Massachusetts!!Unemployment rate!!Estimate,Michigan!!Unemployment rate!!Estimate,Minnesota!!Unemployment rate!!Estimate,Mississippi!!Unemployment rate!!Estimate,Missouri!!Unemployment rate!!Estimate,Montana!!Unemployment rate!!Estimate,Nebraska!!Unemployment rate!!Estimate,Nevada!!Unemployment rate!!Estimate,New Hampshire!!Unemployment rate!!Estimate,New Jersey!!Unemployment rate!!Estimate,New Mexico!!Unemployment rate!!Estimate,New York!!Unemployment rate!!Estimate,North Carolina!!Unemployment rate!!Estimate,North Dakota!!Unemployment rate!!Estimate,Ohio!!Unemployment rate!!Estimate,Oklahoma!!Unemployment rate!!Estimate,Oregon!!Unemployment rate!!Estimate,Pennsylvania!!Unemployment rate!!Estimate,Rhode Island!!Unemployment rate!!Estimate,South Carolina!!Unemployment rate!!Estimate,South Dakota!!Unemployment rate!!Estimate,Tennessee!!Unemployment rate!!Estimate,Texas!!Unemployment rate!!Estimate,Utah!!Unemployment rate!!Estimate,Vermont!!Unemployment rate!!Estimate,Virginia!!Unemployment rate!!Estimate,Washington!!Unemployment rate!!Estimate,West Virginia!!Unemployment rate!!Estimate,Wisconsin!!Unemployment rate!!Estimate,Wyoming!!Unemployment rate!!Estimate,Puerto Rico!!Unemployment rate!!Estimate
Totals,4.30%,4.60%,4.30%,4.50%,5.30%,3.50%,4.70%,4.30%,5.10%,4.00%,4.20%,3.60%,3.00%,4.80%,3.60%,2.90%,3.60%,4.30%,5.40%,3.30%,4.00%,4.10%,4.60%,3.20%,4.90%,3.70%,3.00%,2.30%,5.50%,2.50%,5.00%,4.80%,5.10%,3.80%,2.20%,3.70%,4.20%,4.30%,4.30%,4.50%,4.40%,2.80%,3.40%,4.40%,2.70%,2.80%,3.60%,4.10%,4.70%,2.80%,3.80%,9.90%
16 to 19 ,12.10%,12.40%,13.80%,12.10%,15.30%,13.10%,12.60%,10.20%,24.50%,12.50%,11.80%,12.30%,10.30%,12.10%,9.60%,8.60%,9.90%,13.60%,12.60%,12.40%,13.40%,11.70%,10.90%,8.30%,18.80%,11.40%,10.30%,7.20%,16.10%,6.60%,13.70%,8.60%,15.40%,11.20%,7.40%,10.20%,12.30%,12.20%,12.20%,10.10%,16.10%,9.20%,10.40%,13.80%,7.40%,11.30%,12.00%,12.90%,13.70%,6.20%,9.20%,34.20%
20 to 24 ,9.00%,9.00%,6.00%,9.80%,9.20%,4.70%,8.70%,9.70%,9.20%,7.40%,8.50%,6.60%,5.60%,8.50%,6.10%,5.20%,6.80%,8.00%,11.70%,5.50%,8.60%,7.50%,7.30%,5.60%,8.30%,6.90%,5.50%,4.20%,9.40%,5.30%,9.70%,8.80%,10.00%,7.20%,2.20%,6.80%,6.10%,7.20%,8.00%,7.80%,8.00%,5.20%,5.90%,7.90%,4.90%,4.00%,8.40%,6.90%,7.00%,5.90%,7.30%,19.80%
25 to 29,5.50%,4.10%,4.70%,4.70%,6.10%,3.00%,5.10%,5.10%,4.60%,4.90%,5.20%,4.50%,3.10%,5.80%,4.90%,3.30%,3.40%,5.60%,6.50%,3.50%,4.00%,4.20%,5.00%,3.00%,6.20%,4.80%,2.70%,2.10%,5.40%,3.30%,5.60%,4.70%,5.80%,4.60%,3.00%,4.80%,5.70%,4.20%,5.30%,5.60%,5.10%,3.40%,4.30%,4.90%,2.50%,3.60%,3.70%,4.80%,4.70%,3.50%,4.20%,13.70%
30 to 34,5.20%,4.10%,3.60%,3.50%,4.90%,2.90%,4.70%,4.40%,4.30%,3.70%,3.60%,3.10%,2.00%,4.40%,3.20%,2.30%,3.60%,4.10%,4.00%,2.70%,4.10%,3.20%,4.80%,2.70%,4.60%,2.90%,4.10%,2.30%,5.00%,2.20%,4.40%,4.90%,5.00%,3.20%,1.90%,3.70%,4.50%,4.40%,4.00%,3.90%,4.00%,3.20%,3.70%,3.90%,2.50%,2.60%,3.80%,3.60%,5.30%,2.60%,2.70%,9.90%
35 to 44,3.60%,4.60%,3.50%,4.20%,4.20%,2.90%,4.20%,3.70%,3.50%,3.60%,3.20%,3.30%,2.20%,3.80%,3.00%,2.60%,3.70%,3.60%,4.90%,3.50%,3.20%,3.40%,4.50%,2.70%,4.00%,3.00%,1.70%,1.80%,4.50%,1.60%,4.50%,4.20%,4.20%,3.40%,1.10%,3.10%,3.40%,3.60%,3.90%,3.60%,3.60%,2.50%,2.80%,3.50%,1.60%,1.50%,2.90%,3.50%,4.30%,2.20%,3.80%,8.00%
45 to 54,3.00%,2.60%,3.40%,2.90%,4.00%,2.80%,3.40%,4.10%,4.40%,2.70%,2.70%,2.60%,1.70%,3.60%,2.40%,2.10%,2.20%,2.70%,4.00%,2.30%,2.50%,3.10%,3.50%,2.60%,3.20%,2.60%,2.00%,1.50%,4.80%,1.50%,3.60%,3.50%,3.70%,2.60%,2.60%,2.50%,2.80%,2.90%,2.90%,3.80%,2.80%,1.30%,2.20%,3.00%,1.50%,2.50%,2.20%,3.10%,3.90%,1.70%,2.40%,6.50%
55 to 59,1.50%,2.10%,3.20%,2.40%,4.20%,2.70%,3.40%,1.10%,3.90%,2.60%,2.70%,3.60%,2.20%,3.70%,2.60%,1.60%,2.00%,2.60%,3.50%,2.10%,2.70%,3.80%,3.20%,2.30%,3.30%,2.30%,2.20%,1.40%,3.40%,1.30%,3.90%,4.90%,3.90%,2.10%,1.40%,2.50%,2.50%,3.70%,2.50%,2.00%,2.70%,1.10%,2.50%,2.70%,1.80%,1.10%,2.00%,2.80%,3.60%,1.90%,3.20%,5.80%
60 to 64,2.00%,3.60%,2.50%,1.60%,4.20%,2.70%,3.00%,2.60%,6.60%,2.70%,2.80%,2.10%,1.70%,3.10%,1.90%,1.40%,1.10%,1.70%,3.30%,1.60%,3.30%,2.20%,2.90%,2.00%,1.80%,2.00%,1.80%,0.90%,4.10%,3.50%,4.00%,4.10%,3.40%,2.00%,0.60%,2.00%,2.30%,2.90%,2.60%,4.40%,2.50%,1.30%,1.70%,3.30%,1.20%,1.90%,2.00%,2.80%,2.80%,1.40%,2.40%,5.40%
65 to 74,1.20%,4.00%,3.80%,3.10%,3.90%,2.80%,4.10%,0.90%,5.40%,3.20%,3.50%,2.00%,1.80%,3.60%,1.90%,2.00%,2.10%,2.10%,2.00%,1.60%,2.40%,3.40%,3.10%,2.50%,3.10%,2.60%,1.80%,2.10%,4.20%,2.00%,4.10%,1.80%,3.70%,2.70%,2.00%,2.20%,2.20%,3.00%,2.50%,4.40%,2.30%,1.50%,1.70%,3.30%,3.00%,2.20%,2.20%,2.40%,3.60%,1.70%,2.80%,3.70%
75 and over,1.80%,7.30%,3.70%,4.20%,4.00%,4.20%,4.90%,2.30%,2.60%,2.70%,1.70%,2.80%,2.80%,2.80%,2.10%,2.10%,2.10%,1.90%,2.70%,2.90%,2.80%,3.70%,2.20%,3.90%,3.60%,1.70%,0.90%,3.40%,6.00%,1.80%,3.30%,2.40%,4.00%,2.40%,0.50%,3.10%,1.90%,4.80%,3.30%,3.30%,2.70%,1.20%,2.30%,3.50%,1.60%,2.20%,2.10%,2.10%,0.50%,1.00%,0.00%,0.50%
